ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
203614_at	0.6344	0.19991305	-1.296054	-4.9493	-0.3220592	ALG11///UTP14C	ALG11, alpha-1,2-mannosyltransferase///UTP14, small subunit processome component homolog C (S. cerevisiae)
211239_s_at	0.6344	0.19993768	1.295982	-4.9493	0.532314	ADAM7	ADAM metallopeptidase domain 7
221410_x_at	0.6345	0.20004431	-1.29567	-4.9497	-0.3543417	PCDHB3	protocadherin beta 3
207722_s_at	0.6345	0.20007364	-1.295585	-4.9498	-0.750838	BTBD2	BTB domain containing 2
217234_s_at	0.6345	0.20008642	-1.295547	-4.9498	-0.6077489	EZR	ezrin
219614_s_at	0.6345	0.20010847	-1.295483	-4.9499	-0.5018437	SLC6A20	solute carrier family 6 member 20
201914_s_at	0.6345	0.20013589	-1.295403	-4.95	-0.340866	SEC63	SEC63 homolog, protein translocation regulator
205591_at	0.6345	0.20015465	1.295348	-4.9501	0.415988	OLFM1	olfactomedin 1
207259_at	0.6345	0.20018506	-1.295259	-4.9502	-0.4172919	LINC00483	long intergenic non-protein coding RNA 483
212154_at	0.6345	0.20020632	1.295197	-4.9502	0.7429374	SDC2	syndecan 2
211922_s_at	0.6345	0.20024487	-1.295085	-4.9504	-0.5796261	CAT	catalase
208993_s_at	0.6345	0.20026033	-1.29504	-4.9504	-0.3494506	PPIG	peptidylprolyl isomerase G
205986_at	0.6345	0.20029668	-1.294934	-4.9505	-0.4152557	AATK	apoptosis associated tyrosine kinase
219932_at	0.6346	0.20036938	-1.294722	-4.9508	-0.6180307	SLC27A6	solute carrier family 27 member 6
216741_at	0.6346	0.20038665	-1.294671	-4.9508	-0.3403496		
221112_at	0.6346	0.20039921	-1.294635	-4.9509	-0.3898453	IL1RAPL2	interleukin 1 receptor accessory protein like 2
211590_x_at	0.6346	0.20046143	-1.294453	-4.9511	-0.3228741	TBXA2R	thromboxane A2 receptor
201658_at	0.6346	0.20047073	-1.294426	-4.9511	-0.2938287	ARL1	ADP ribosylation factor like GTPase 1
217354_s_at	0.6346	0.20048778	-1.294376	-4.9512	-0.4654472	HPS1	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1
200702_s_at	0.6347	0.20053971	-1.294225	-4.9513	-0.3827	DDX24	DEAD-box helicase 24
221519_at	0.6347	0.20058503	-1.294093	-4.9515	-0.3034009	FBXW4	F-box and WD repeat domain containing 4
204946_s_at	0.6347	0.20059517	-1.294063	-4.9515	-0.4088999	TOP3A	topoisomerase (DNA) III alpha
216297_at	0.635	0.2007323	-1.293664	-4.952	-0.5449546		
221888_at	0.6354	0.20090539	-1.29316	-4.9525	-0.4362978	CC2D1A	coiled-coil and C2 domain containing 1A
220598_at	0.6354	0.20094291	-1.293051	-4.9527	-0.4857202	CARD14	caspase recruitment domain family member 14
203514_at	0.6354	0.20095054	-1.293029	-4.9527	-0.3808385	MAP3K3	mitogen-activated protein kinase kinase kinase 3
220749_at	0.6355	0.20102332	-1.292817	-4.9529	-0.3754346	CCDC7	coiled-coil domain containing 7
219118_at	0.6355	0.20102687	1.292806	-4.9529	0.3797724	FKBP11	FK506 binding protein 11
211162_x_at	0.6356	0.20109799	-1.2926	-4.9532	-0.2590437	SCD	stearoyl-CoA desaturase
213705_at	0.6357	0.20117992	1.292361	-4.9535	0.4999144	GGCX	gamma-glutamyl carboxylase
219177_at	0.6357	0.20121078	1.292272	-4.9536	0.477049	BRIX1	BRX1, biogenesis of ribosomes
207325_x_at	0.6357	0.20125813	-1.292134	-4.9537	-0.4340066	MAGEA1	MAGE family member A1
220653_at	0.6357	0.2012654	-1.292113	-4.9537	-0.2969507	ZIM2///PEG3	zinc finger imprinted 2///paternally expressed 3
213877_x_at	0.6357	0.20127594	-1.292082	-4.9538	-0.3455157	TCEB2	transcription elongation factor B subunit 2
202758_s_at	0.6357	0.20128537	-1.292055	-4.9538	-0.4347962	RFXANK	regulatory factor X associated ankyrin containing protein
217060_at	0.6357	0.20140536	-1.291706	-4.9542	-0.3707547	TRBV16	T cell receptor beta variable 16 (gene/pseudogene)
208645_s_at	0.6357	0.20142193	-1.291658	-4.9543	-0.3434859	RPS14	ribosomal protein S14
214349_at	0.6357	0.2014308	-1.291632	-4.9543	-0.7175813		
219548_at	0.6357	0.20148494	-1.291475	-4.9545	-0.2795967	ZNF16	zinc finger protein 16
210788_s_at	0.6357	0.20151261	1.291395	-4.9545	0.4253167	DHRS7	dehydrogenase/reductase 7
218238_at	0.6357	0.2015573	1.291265	-4.9547	0.3799469	GTPBP4	GTP binding protein 4
207819_s_at	0.6357	0.20158998	-1.29117	-4.9548	-0.6435595	ABCB4	ATP binding cassette subfamily B member 4
222079_at	0.6357	0.20160693	-1.291121	-4.9549	-0.383231	ERG	ERG, ETS transcription factor
214662_at	0.6357	0.20161705	1.291091	-4.9549	0.3095829	WDR43	WD repeat domain 43
204918_s_at	0.6357	0.2016399	-1.291025	-4.955	-0.4631966	MLLT3	MLLT3, super elongation complex subunit
203569_s_at	0.6357	0.20164066	-1.291023	-4.955	-0.3635908	OFD1	OFD1, centriole and centriolar satellite protein
205813_s_at	0.6357	0.20164516	-1.29101	-4.955	-0.3616834	MAT1A	methionine adenosyltransferase 1A
220402_at	0.6357	0.20167209	-1.290932	-4.9551	-0.4854818	TP53AIP1	tumor protein p53 regulated apoptosis inducing protein 1
203057_s_at	0.6359	0.20176113	-1.290673	-4.9554	-0.4443054	PRDM2	PR/SET domain 2
203946_s_at	0.6359	0.20185285	1.290407	-4.9557	0.6637686	ARG2	arginase 2
211694_at	0.6359	0.20187622	-1.290339	-4.9557	-0.34843	TSSK1B	testis specific serine kinase 1B
221780_s_at	0.6359	0.20191008	-1.290241	-4.9559	-0.3158906	DDX27	DEAD-box helicase 27
206960_at	0.6359	0.2019153	1.290226	-4.9559	0.5552147	LPAR4	lysophosphatidic acid receptor 4
203180_at	0.6359	0.20191773	-1.290219	-4.9559	-0.3526372	ALDH1A3	aldehyde dehydrogenase 1 family member A3
202688_at	0.6359	0.20192339	-1.290202	-4.9559	-0.4663507	TNFSF10	tumor necrosis factor superfamily member 10
221229_s_at	0.6359	0.20196399	-1.290085	-4.956	-0.3460147	TRMT61B	tRNA methyltransferase 61B
209820_s_at	0.6359	0.20199268	-1.290002	-4.9561	-0.471305	TBL3	transducin beta like 3
205779_at	0.6359	0.20202681	-1.289903	-4.9562	-0.3452618	RAMP2	receptor activity modifying protein 2
221044_s_at	0.6359	0.20204216	-1.289858	-4.9563	-0.4521831	TRIM6-TRIM34///TRIM34	TRIM6-TRIM34 readthrough///tripartite motif containing 34
204951_at	0.6362	0.20216103	-1.289514	-4.9567	-0.4163819	RHOH	ras homolog family member H
217639_at	0.6364	0.20227118	-1.289195	-4.957	-0.3985087		
202552_s_at	0.6365	0.202337	-1.289004	-4.9573	-0.4855888	LOC101929500///CRIM1	uncharacterized LOC101929500///cysteine rich transmembrane BMP regulator 1
204492_at	0.6367	0.20245111	-1.288674	-4.9576	-0.3979365	ARHGAP11A	Rho GTPase activating protein 11A
214329_x_at	0.6367	0.20249208	-1.288555	-4.9578	-0.3768987	TNFSF10	tumor necrosis factor superfamily member 10
81811_at	0.6367	0.20251199	-1.288498	-4.9578	-0.3645841		
37278_at	0.6367	0.20252577	-1.288458	-4.9579	-0.3304823	TAZ	tafazzin
214911_s_at	0.6367	0.20254673	-1.288397	-4.9579	-0.3874697	BRD2	bromodomain containing 2
47571_at	0.6367	0.20257303	-1.288321	-4.958	-0.3239419	ZNF236	zinc finger protein 236
205417_s_at	0.6367	0.20257447	-1.288317	-4.958	-0.331275	DAG1	dystroglycan 1
202835_at	0.6369	0.20271	-1.287925	-4.9585	-0.377136	TXNL4A	thioredoxin like 4A
213688_at	0.6369	0.20277131	-1.287748	-4.9587	-0.3489292	CALM3///CALM2///CALM1	calmodulin 3///calmodulin 2///calmodulin 1
206003_at	0.6369	0.20277957	-1.287724	-4.9587	-0.4504581	CEP135	centrosomal protein 135
212352_s_at	0.6369	0.20279573	1.287677	-4.9588	0.5021041	TMED10	transmembrane p24 trafficking protein 10
220936_s_at	0.6369	0.20282039	-1.287606	-4.9588	-0.6395102	H2AFJ	H2A histone family member J
212193_s_at	0.6369	0.20286702	-1.287471	-4.959	-0.4048876	LARP1	La ribonucleoprotein domain family member 1
210323_at	0.6369	0.20288339	-1.287424	-4.959	-0.4939447	TEKT2	tektin 2
202871_at	0.6369	0.20288895	-1.287408	-4.9591	-0.3849968	TRAF4	TNF receptor associated factor 4
220879_at	0.6371	0.20298881	-1.287119	-4.9594	-0.4458885		
212854_x_at	0.6371	0.20301396	-1.287047	-4.9595	-0.3771584	NBPF1	neuroblastoma breakpoint family member 1
203845_at	0.6372	0.20309238	-1.28682	-4.9597	-0.3418105	KAT2B	lysine acetyltransferase 2B
204446_s_at	0.6372	0.20313669	-1.286692	-4.9599	-0.7299124	ALOX5	arachidonate 5-lipoxygenase
215998_at	0.6372	0.20313843	-1.286687	-4.9599	-0.3645334		
211006_s_at	0.6372	0.20315744	-1.286632	-4.9599	-0.3723594	KCNB1	potassium voltage-gated channel subfamily B member 1
218743_at	0.6373	0.20319523	-1.286523	-4.9601	-0.4672746	CHMP6	charged multivesicular body protein 6
211192_s_at	0.6373	0.20323674	-1.286403	-4.9602	-0.4232084	CD84	CD84 molecule
206927_s_at	0.6374	0.20328005	-1.286278	-4.9603	-0.4163871	GUCY1A2	guanylate cyclase 1 soluble subunit alpha 2
203234_at	0.6374	0.2033386	1.286109	-4.9605	0.5781174	UPP1	uridine phosphorylase 1
218681_s_at	0.6374	0.20337089	-1.286016	-4.9606	-0.4128912	SDF2L1	stromal cell derived factor 2 like 1
217300_at	0.6374	0.20337865	-1.285994	-4.9607	-0.3701024		
214987_at	0.6374	0.20342894	-1.285849	-4.9608	-0.4514087	GAB1	GRB2 associated binding protein 1
205246_at	0.6374	0.20344163	1.285812	-4.9609	0.4623337	PEX13	peroxisomal biogenesis factor 13
205448_s_at	0.6375	0.2034889	-1.285676	-4.961	-0.3345301	MAP3K12	mitogen-activated protein kinase kinase kinase 12
206037_at	0.6375	0.20351614	-1.285598	-4.9611	-0.3363232	KYAT1	kynurenine aminotransferase 1
206000_at	0.6378	0.20369408	-1.285085	-4.9617	-0.3380268	MEP1A	meprin A subunit alpha
218688_at	0.6378	0.20370752	-1.285046	-4.9617	-0.4876213	TKFC	triokinase and FMN cyclase
210472_at	0.6378	0.20371294	1.28503	-4.9617	0.4368796	MT1G	metallothionein 1G
214864_s_at	0.6378	0.20374863	1.284928	-4.9619	0.3325134	GRHPR	glyoxylate and hydroxypyruvate reductase
220269_at	0.6378	0.20375346	-1.284914	-4.9619	-0.5175963	ZBBX	zinc finger B-box domain containing
216754_at	0.6378	0.20381073	-1.284749	-4.9621	-0.3933099		
213232_at	0.6378	0.20381505	-1.284736	-4.9621	-0.5204576	FAM234B	family with sequence similarity 234 member B
205142_x_at	0.6378	0.2038417	-1.28466	-4.9622	-0.3206923	ABCD1	ATP binding cassette subfamily D member 1
208495_at	0.6379	0.20393805	1.284382	-4.9625	0.4512811	TLX3	T-cell leukemia homeobox 3
214819_at	0.6379	0.20400428	-1.284192	-4.9627	-0.4534787	IQSEC2	IQ motif and Sec7 domain 2
208938_at	0.6379	0.20400802	-1.284181	-4.9627	-0.3836251	PRCC	papillary renal cell carcinoma (translocation-associated)
213524_s_at	0.6379	0.20405168	-1.284055	-4.9628	-0.569211	G0S2	G0/G1 switch 2
220379_at	0.6379	0.20405867	-1.284035	-4.9629	-0.3626188	FSCN3	fascin actin-bundling protein 3
203797_at	0.6379	0.20406164	-1.284027	-4.9629	-0.3718461	VSNL1	visinin like 1
200022_at	0.6379	0.20407537	-1.283987	-4.9629	-0.3784971	RPL18	ribosomal protein L18
216099_at	0.6379	0.20411767	-1.283865	-4.9631	-0.3529064	HTR7P1	5-hydroxytryptamine receptor 7 pseudogene 1
216682_s_at	0.6379	0.20413502	-1.283815	-4.9631	-0.4170316	SUPT20H	SPT20 homolog, SAGA complex component
216565_x_at	0.638	0.20418586	-1.283669	-4.9633	-0.395147		
212394_at	0.638	0.2042426	-1.283506	-4.9635	-0.4241712	EMC1	ER membrane protein complex subunit 1
204833_at	0.638	0.20425794	1.283462	-4.9635	0.4782619	ATG12	autophagy related 12
206757_at	0.638	0.20428686	-1.283379	-4.9636	-0.6290346	PDE5A	phosphodiesterase 5A
220833_at	0.638	0.20431136	-1.283308	-4.9637	-0.4098631		
207568_at	0.6381	0.20442029	-1.282995	-4.964	-0.2767723	CHRNA6	cholinergic receptor nicotinic alpha 6 subunit
211368_s_at	0.6381	0.20443792	1.282945	-4.9641	0.543986	CASP1	caspase 1
211315_s_at	0.6381	0.2044395	-1.28294	-4.9641	-0.4958997	CACNA1G	calcium voltage-gated channel subunit alpha1 G
213413_at	0.6385	0.20459396	-1.282497	-4.9646	-0.5295792	STON1	stonin 1
213505_s_at	0.6385	0.20462419	-1.28241	-4.9647	-0.3049359	SUGP2	SURP and G-patch domain containing 2
217412_at	0.6387	0.20472836	-1.282111	-4.965	-0.4427355		
200932_s_at	0.6387	0.20475697	1.282029	-4.9651	0.3385066	DCTN2	dynactin subunit 2
200810_s_at	0.6387	0.20476219	-1.282014	-4.9651	-0.295777	CIRBP	cold inducible RNA binding protein
212660_at	0.6388	0.20482852	-1.281823	-4.9654	-0.3552991	JADE2	jade family PHD finger 2
206274_s_at	0.6388	0.20484394	-1.281779	-4.9654	-0.4158387	CROCC	ciliary rootlet coiled-coil, rootletin
213921_at	0.6388	0.20489735	-1.281626	-4.9656	-0.4542614	SST	somatostatin
220503_at	0.6388	0.20491278	1.281582	-4.9656	0.5159226	SLC13A1	solute carrier family 13 member 1
216857_at	0.6388	0.20494046	-1.281502	-4.9657	-0.3748935	IL23A	interleukin 23 subunit alpha
210688_s_at	0.6388	0.20496576	-1.28143	-4.9658	-0.3771306	CPT1A	carnitine palmitoyltransferase 1A
208595_s_at	0.6389	0.20502344	-1.281264	-4.966	-0.4890692	MBD1	methyl-CpG binding domain protein 1
205958_x_at	0.639	0.20511244	-1.281009	-4.9663	-0.4168653	CSHL1	chorionic somatomammotropin hormone like 1
208594_x_at	0.639	0.205116	-1.280999	-4.9663	-0.365651	LILRA6	leukocyte immunoglobulin like receptor A6
207453_s_at	0.639	0.20521859	-1.280705	-4.9666	-0.2832008	DNAJB5	DnaJ heat shock protein family (Hsp40) member B5
203747_at	0.639	0.20524087	-1.280641	-4.9667	-0.4249828	AQP3	aquaporin 3 (Gill blood group)
211079_s_at	0.639	0.20530633	-1.280454	-4.9669	-0.4763447	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A
213481_at	0.639	0.20533815	-1.280363	-4.967	-0.4256956	S100A13	S100 calcium binding protein A13
217902_s_at	0.639	0.20533976	-1.280358	-4.967	-0.3784325	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2
219448_at	0.639	0.20534234	-1.280351	-4.967	-0.499807	TMEM70	transmembrane protein 70
206194_at	0.639	0.2053516	-1.280324	-4.967	-0.3020781	HOXC4	homeobox C4
208018_s_at	0.639	0.20538263	-1.280235	-4.9671	-0.6553592	HCK	HCK proto-oncogene, Src family tyrosine kinase
208314_at	0.639	0.20544594	-1.280054	-4.9673	-0.3198883	RRH	retinal pigment epithelium-derived rhodopsin homolog
214223_at	0.639	0.2054641	-1.280002	-4.9674	-0.4150584	PTP4A3	protein tyrosine phosphatase type IVA, member 3
219793_at	0.639	0.20546727	-1.279993	-4.9674	-0.4813328	SNX16	sorting nexin 16
208293_x_at	0.639	0.20547609	-1.279968	-4.9674	-0.5471007	CSHL1	chorionic somatomammotropin hormone like 1
205002_at	0.639	0.2055043	-1.279887	-4.9675	-0.4128899	AHDC1	AT-hook DNA binding motif containing 1
208221_s_at	0.639	0.20553695	1.279794	-4.9676	0.3768418	SLIT1	slit guidance ligand 1
202467_s_at	0.6396	0.20577966	1.279099	-4.9684	0.3492402	COPS2	COP9 signalosome subunit 2
210988_s_at	0.6396	0.20579098	-1.279067	-4.9685	-0.3397754	PRUNE1	prune exopolyphosphatase
218980_at	0.6396	0.20580231	-1.279035	-4.9685	-0.4842011	FHOD3	formin homology 2 domain containing 3
206051_at	0.6396	0.20583522	-1.27894	-4.9686	-0.4222524	ELAVL4	ELAV like neuron-specific RNA binding protein 4
214816_x_at	0.6398	0.20593509	-1.278655	-4.9689	-0.3836222	FAAP24	Fanconi anemia core complex associated protein 24
205675_at	0.6398	0.20595339	-1.278603	-4.969	-0.4989894	MTTP	microsomal triglyceride transfer protein
204337_at	0.6399	0.20602667	-1.278393	-4.9692	-0.4610708	RGS4	regulator of G-protein signaling 4
212992_at	0.64	0.20608592	-1.278224	-4.9694	-0.4243348	AHNAK2	AHNAK nucleoprotein 2
202098_s_at	0.64	0.20611423	-1.278143	-4.9695	-0.3547798	PRMT2	protein arginine methyltransferase 2
203439_s_at	0.64	0.20615604	-1.278024	-4.9696	-0.2916168	STC2	stanniocalcin 2
214720_x_at	0.64	0.20625349	-1.277746	-4.9699	-0.4708895	SEPT10	septin 10
216645_at	0.64	0.20627399	-1.277687	-4.97	-0.3925223	TCF3	transcription factor 3
204706_at	0.64	0.20628481	-1.277656	-4.97	-0.3784946	INPP5E	inositol polyphosphate-5-phosphatase E
212132_at	0.64	0.20628644	1.277652	-4.97	0.3983836	LSM14A	LSM14A, mRNA processing body assembly factor
218529_at	0.64	0.2063514	-1.277466	-4.9703	-0.5767412	CD320	CD320 molecule
210809_s_at	0.64	0.20638564	-1.277369	-4.9704	-0.3289218	POSTN	periostin
220174_at	0.64	0.20641372	-1.277289	-4.9705	-0.3542697	LRRC8E	leucine rich repeat containing 8 family member E
209142_s_at	0.64	0.20643537	1.277227	-4.9705	0.412275	UBE2G1	ubiquitin conjugating enzyme E2 G1
212891_s_at	0.64	0.20644619	1.277196	-4.9706	0.628335	GADD45GIP1	GADD45G interacting protein 1
202177_at	0.64	0.20653174	-1.276952	-4.9708	-0.3467985	GAS6	growth arrest specific 6
217019_at	0.64	0.20654593	1.276912	-4.9709	0.5492864		
218674_at	0.64	0.20658398	-1.276803	-4.971	-0.4077277	TRAPPC13	trafficking protein particle complex 13
211519_s_at	0.64	0.20658454	-1.276801	-4.971	-0.3426088	KIF2C	kinesin family member 2C
218454_at	0.64	0.20658918	-1.276788	-4.971	-0.5067671	PLBD1	phospholipase B domain containing 1
209250_at	0.64	0.20659786	1.276763	-4.971	0.3328413	DEGS1	delta 4-desaturase, sphingolipid 1
218906_x_at	0.64	0.2066375	-1.27665	-4.9712	-0.4929193	KLC2	kinesin light chain 2
219473_at	0.64	0.20666434	-1.276574	-4.9713	-0.3179497	GDAP2	ganglioside induced differentiation associated protein 2
209599_s_at	0.64	0.20670999	-1.276444	-4.9714	-0.4736854	PRUNE1	prune exopolyphosphatase
219094_at	0.64	0.20673305	-1.276378	-4.9715	-0.346452	ARMC8	armadillo repeat containing 8
211170_s_at	0.64	0.20674201	-1.276353	-4.9715	-0.3669662	PDE10A	phosphodiesterase 10A
212989_at	0.64	0.20675516	1.276315	-4.9715	0.4547634	SGMS1	sphingomyelin synthase 1
214118_x_at	0.64	0.20676413	-1.27629	-4.9716	-0.318742	PCM1	pericentriolar material 1
214057_at	0.64	0.20680968	1.27616	-4.9717	0.3438705	MCL1	BCL2 family apoptosis regulator
207516_at	0.64	0.20683055	-1.2761	-4.9718	-0.4649193	CHRNB4	cholinergic receptor nicotinic beta 4 subunit
216492_at	0.64	0.20688799	-1.275937	-4.972	-0.3788583	KIR3DX1	killer cell immunoglobulin like receptor, three Ig domains X1
218797_s_at	0.64	0.20694025	-1.275788	-4.9721	-0.3317223	SIRT7	sirtuin 7
213040_s_at	0.64	0.20698603	-1.275658	-4.9723	-0.3620992	NPTXR	neuronal pentraxin receptor
206334_at	0.64	0.20698661	-1.275656	-4.9723	-0.4473463	LIPF	lipase F, gastric type
203255_at	0.64	0.20704892	-1.275479	-4.9725	-0.4057588	FBXO11	F-box protein 11
208721_s_at	0.64	0.20705226	-1.275469	-4.9725	-0.4258451	ANAPC5	anaphase promoting complex subunit 5
209935_at	0.64	0.20706299	-1.275439	-4.9725	-0.5542807	ATP2C1	ATPase secretory pathway Ca2+ transporting 1
221324_at	0.64	0.20707862	-1.275394	-4.9726	-0.3992904	TAS2R1	taste 2 receptor member 1
215371_at	0.64	0.20710102	-1.27533	-4.9726	-0.5296841	MED27	mediator complex subunit 27
219458_s_at	0.64	0.20711605	-1.275288	-4.9727	-0.2837551	NSUN3	NOP2/Sun RNA methyltransferase family member 3
215324_at	0.64	0.20715038	-1.27519	-4.9728	-0.4989701	SEMA3D	semaphorin 3D
214825_at	0.6403	0.20730103	-1.274762	-4.9733	-0.4061629	FAM155A	family with sequence similarity 155 member A
222162_s_at	0.6403	0.20730397	-1.274753	-4.9733	-0.4822164	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1
210723_x_at	0.6403	0.20731678	-1.274717	-4.9733	-0.3240396		
37254_at	0.6403	0.20734674	-1.274632	-4.9734	-0.3848317	ZNF133	zinc finger protein 133
204218_at	0.6406	0.20748698	-1.274233	-4.9739	-0.2813668	ANAPC15	anaphase promoting complex subunit 15
203817_at	0.6409	0.20759366	-1.27393	-4.9742	-0.3825068	GUCY1B3	guanylate cyclase 1 soluble subunit beta
204596_s_at	0.6409	0.20761713	-1.273863	-4.9743	-0.4552564	STC1	stanniocalcin 1
203756_at	0.6411	0.20771541	-1.273584	-4.9746	-0.462657	ARHGEF17	Rho guanine nucleotide exchange factor 17
200749_at	0.6411	0.20775601	1.273469	-4.9747	0.4129293	RAN	RAN, member RAS oncogene family
214909_s_at	0.6411	0.20778569	-1.273385	-4.9748	-0.4059025	DDAH2	dimethylarginine dimethylaminohydrolase 2
215829_at	0.6413	0.2078686	-1.273149	-4.9751	-0.3650827	SHANK2	SH3 and multiple ankyrin repeat domains 2
219897_at	0.6416	0.208004	-1.272765	-4.9755	-0.3248368	RNF122	ring finger protein 122
213980_s_at	0.6416	0.20804565	-1.272647	-4.9756	-0.3640897	CTBP1	C-terminal binding protein 1
203186_s_at	0.6423	0.20828873	1.271958	-4.9764	0.6332704	S100A4	S100 calcium binding protein A4
220805_at	0.6425	0.20840243	-1.271636	-4.9768	-0.4405694	HRH2	histamine receptor H2
204265_s_at	0.6425	0.20842605	-1.271569	-4.9769	-0.3668127	GPSM3	G-protein signaling modulator 3
203931_s_at	0.6425	0.20843289	-1.27155	-4.9769	-0.4766046	MRPL12	mitochondrial ribosomal protein L12
214129_at	0.6427	0.20861348	-1.271038	-4.9774	-0.3498393	LOC101930416///LOC101929792///LOC100996724///PDE4DIP	myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein
202753_at	0.6427	0.20861369	1.271038	-4.9774	0.3653377	PSMD6	proteasome 26S subunit, non-ATPase 6
217685_at	0.6427	0.20865436	1.270923	-4.9776	0.4943825		
206681_x_at	0.6427	0.20868506	-1.270836	-4.9777	-0.4622015	GP2	glycoprotein 2
218927_s_at	0.6427	0.2086961	1.270805	-4.9777	0.6114437	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12
207491_at	0.6427	0.20869624	-1.270804	-4.9777	-0.3767544	MOGAT2	monoacylglycerol O-acyltransferase 2
220263_at	0.6427	0.20874053	-1.270679	-4.9778	-0.3410248	SMAD5-AS1	SMAD5 antisense RNA 1
210506_at	0.6427	0.20875261	-1.270645	-4.9779	-0.7192944	FUT7	fucosyltransferase 7
200929_at	0.6427	0.20875699	1.270632	-4.9779	0.3488355	TMED10	transmembrane p24 trafficking protein 10
204797_s_at	0.6428	0.20882677	-1.270435	-4.9781	-0.5145617	EML1	echinoderm microtubule associated protein like 1
207567_at	0.643	0.20894071	-1.270113	-4.9785	-0.455217	SLC13A2	solute carrier family 13 member 2
201162_at	0.643	0.20896211	1.270052	-4.9785	1.0256656	IGFBP7	insulin like growth factor binding protein 7
215391_at	0.643	0.20899527	-1.269959	-4.9786	-0.4726668	MAP1A	microtubule associated protein 1A
202048_s_at	0.643	0.20902394	-1.269878	-4.9787	-0.5980862	CBX6	chromobox 6
219857_at	0.643	0.20907928	1.269721	-4.9789	0.5091321	PLEKHS1	pleckstrin homology domain containing S1
215996_at	0.643	0.2091015	-1.269658	-4.979	-0.451823		
208175_s_at	0.643	0.20910222	-1.269656	-4.979	-0.5784687	DMP1	dentin matrix acidic phosphoprotein 1
200919_at	0.6434	0.20930223	-1.269092	-4.9796	-0.3175692	PHC2	polyhomeotic homolog 2
206897_at	0.6434	0.20932433	-1.269029	-4.9797	-0.4368478	PAGE1	PAGE family member 1
216772_at	0.6434	0.20935565	-1.268941	-4.9798	-0.4640968	LOC101926997	uncharacterized LOC101926997
209198_s_at	0.6434	0.2093745	-1.268888	-4.9798	-0.3994669	SYT11	synaptotagmin 11
211914_x_at	0.6434	0.20938328	-1.268863	-4.9799	-0.4334843	NF1P9///NF1	neurofibromin 1 pseudogene 9///neurofibromin 1
221806_s_at	0.6434	0.20939019	-1.268843	-4.9799	-0.3337124	SETD5	SET domain containing 5
220915_s_at	0.6436	0.20949736	-1.268541	-4.9802	-0.5329925		
210051_at	0.6436	0.2095418	-1.268415	-4.9804	-0.289015	RAPGEF3	Rap guanine nucleotide exchange factor 3
206745_at	0.6436	0.20956666	-1.268345	-4.9804	-0.2990294	HOXC11	homeobox C11
211677_x_at	0.6436	0.20960805	-1.268229	-4.9806	-0.3564842	CADM3	cell adhesion molecule 3
217407_x_at	0.6436	0.20960883	-1.268226	-4.9806	-0.3584289	PPIL2	peptidylprolyl isomerase like 2
221077_at	0.6438	0.20970668	-1.267951	-4.9809	-0.4514054	ARMC4	armadillo repeat containing 4
205661_s_at	0.6439	0.20975888	-1.267803	-4.981	-0.3249515	FLAD1	flavin adenine dinucleotide synthetase 1
208442_s_at	0.6439	0.20980169	-1.267683	-4.9812	-0.6028092	ATM	ATM serine/threonine kinase
215911_x_at	0.6439	0.20984639	-1.267557	-4.9813	-0.452585	ATP2B3	ATPase plasma membrane Ca2+ transporting 3
209172_s_at	0.6439	0.20985156	-1.267542	-4.9813	-0.4441877	CENPF	centromere protein F
218438_s_at	0.644	0.20990154	1.267401	-4.9815	0.31115	MED28	mediator complex subunit 28
213655_at	0.644	0.20997889	1.267184	-4.9817	0.4048835		
212698_s_at	0.644	0.20998999	-1.267152	-4.9818	-0.5967973	SEPT10	septin 10
202326_at	0.644	0.21000145	-1.26712	-4.9818	-0.5325449	EHMT2	euchromatic histone lysine methyltransferase 2
202313_at	0.6441	0.21008044	1.266898	-4.9821	0.3632885	PPP2R2A	protein phosphatase 2 regulatory subunit Balpha
200943_at	0.6441	0.21009645	-1.266852	-4.9821	-0.4572738	HMGN1	high mobility group nucleosome binding domain 1
221478_at	0.6441	0.2101161	-1.266797	-4.9822	-0.3494908	BNIP3L	BCL2 interacting protein 3 like
205199_at	0.6442	0.21018065	-1.266615	-4.9824	-0.3294829	CA9	carbonic anhydrase 9
220229_s_at	0.6442	0.21021031	1.266532	-4.9825	0.4370991	AP4E1	adaptor related protein complex 4 epsilon 1 subunit
218010_x_at	0.6442	0.21025726	-1.2664	-4.9826	-0.3801857	PPDPF	pancreatic progenitor cell differentiation and proliferation factor
216368_s_at	0.6442	0.21025959	-1.266393	-4.9826	-0.3189052	COL4A3	collagen type IV alpha 3 chain
212120_at	0.6447	0.21046735	1.265809	-4.9833	0.3546696	RHOQ	ras homolog family member Q
203759_at	0.6448	0.21051172	1.265684	-4.9834	0.3947591	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
215106_at	0.6448	0.21053703	-1.265613	-4.9835	-0.4393117	TTC22	tetratricopeptide repeat domain 22
